CustomerId,FirstName,LastName,DateOfBirth,Email,Phone,Address,Postcode,JoinDate
8ab2063f-a1b2-496a-aaaa-254731459d7e,Roland,Germano,1998-09-24,roland.germano@hotmail.com,+44 6617 4284273,"Sheppard Drive, South Bermondsey, Bermondsey, London Borough of Southwark, London, Greater London, England, SE16 3EJ, United Kingdom",WR6Y 2TT,2023-06-24 17:13:20
74088d8b-66a9-46f1-a760-ff5bcc16767f,Lorraine,Berger,1972-10-26,lorraine.berger@gmail.com,+44 8143 0858672,"Gravelly Ride, Copse Hill, London Borough of Merton, London, Greater London, England, SW19 4UR, United Kingdom",LS3V 5RJ,2020-01-12 19:00:24
4c60f9e5-a6c6-41d1-95e9-2de09f8ae6b6,Connor,Santi,1984-08-05,connor.santi@laposte.net,+44 2826 4551933,"Strathearn Road, Wimbledon Park, London Borough of Merton, London, Greater London, England, SW19 7LH, United Kingdom",W2T 9DW,2022-03-17 19:03:05
179416e9-accf-4843-9364-08807f61490b,Antony,Dixon,2003-07-25,antony.dixon@hotmail.com,+44 7637 0557124,"Granby Terrace, Fitzrovia, London Borough of Camden, London, Greater London, England, NW1 3SA, United Kingdom",TQ08 0LZ,2023-07-08 18:35:14
4e621f75-260c-4e5d-9229-356284738bfb,Amadeo,Holmes,1967-08-31,amadeo.holmes@hotmail.com,+44 5236 8854956,"Newfield Primary School, Longstone Avenue, Harlesden, London Borough of Brent, London, Greater London, England, NW10 3UD, United Kingdom",MK7 0AW,2020-05-12 09:50:34
01bf7e6d-d01c-4eae-99b7-cdbcb96c42ac,Gianna,Camus,1965-10-01,gianna.camus@yahoo.com,+44 5069 5394278,"3, Madeline Road, Crystal Palace, London Borough of Bromley, London, Greater London, England, SE20 8AY, United Kingdom",E80 2JN,2019-01-15 07:01:02
d8192e59-59aa-455a-b4ae-4b985f3963b4,Eric,Borromini,1935-03-09,eric.borromini@gmail.com,+44 4416 1716084,"Court Lane Gardens, Dulwich Village, London Borough of Southwark, London, Greater London, England, SE21 7DZ, United Kingdom",RG3A 5FF,2023-01-05 11:53:17
2bcf4950-d866-46cd-a906-800ef81c082f,Luc,Morandini,1938-07-22,luc.morandini@outlook.com,+44 8429 6361365,"46, Honeyman Close, Brondesbury Park, Brondesbury, London Borough of Brent, London, Greater London, England, NW6 7AZ, United Kingdom",SM3Y 1EA,2014-07-18 13:28:29
2bdecda3-6ffd-4800-8a23-a5679ac5c86a,William,Booth,1927-01-02,william.booth@gmail.com,+44 0400 5799408,"Sunny Bank, South Norwood, London Borough of Croydon, London, Greater London, England, SE25 4TF, United Kingdom",B8 9WZ,2018-11-14 03:56:28
c4ee970d-3900-4f51-bd85-20aa33b8451b,Linda,Green,1961-10-02,linda.green@gmail.com,+44 3623 7762827,"Winterbourne Road, Thornton Heath, London Borough of Croydon, London, Greater London, England, CR7 7QZ, United Kingdom",EC77 6DU,2019-06-27 05:57:41
1a07de13-357b-4f61-97ff-ddcd467e3c1d,Kaira,Shukla,1931-11-24,kaira.shukla@gmail.com,+44 7992 0447733,"39, Aylestone Avenue, Brondesbury Park, Brondesbury, London Borough of Brent, London, Greater London, England, NW6 7NT, United Kingdom",SK2 0HG,2023-05-19 10:10:08
5ce993a9-22ec-49cf-8f6d-26c01ffa6898,Taran,Freeman,1950-11-05,taran.freeman@hotmail.com,+44 4719 9598605,"Southwark Street, Bankside, The Borough, London Borough of Southwark, London, Greater London, England, SE1 0HX, United Kingdom",B8H 8QF,2021-08-12 00:41:53
bb6c1887-a438-4579-9741-303450212b5e,Damiano,Austin,1999-02-05,damiano.austin@tele2.it,+44 9486 2099477,"Runners' track, South Hornsey, Stoke Newington, London Borough of Hackney, London, Greater London, England, N16 9HP, United Kingdom",DL86 2GE,2023-02-21 20:35:21
f4477300-7a95-497a-9b54-45743c18f30c,Vardaniya,Chopra,1945-04-28,vardaniya.chopra@gmail.com,+44 4126 6287192,"Cadogan Gardens, Hans Town, Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW1X 0DZ, United Kingdom",S4 9RQ,2014-11-09 00:05:40
12d85645-008b-4e6f-945d-af124a8b487e,Drew,Michaud,1990-09-16,drew.michaud@yahoo.com,+44 1022 9903645,"Elsworthy Terrace, Primrose Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 3DR, United Kingdom",L6B 7WF,2019-04-18 13:13:39
e0324dad-8ab5-457b-817a-dc42fa4c4c98,Maurice,Chaudhry,1939-12-08,maurice.chaudhry@ifrance.com,+44 9775 6218782,"Technico House, 4, Christopher Street, Shoreditch, London Borough of Hackney, London, Greater London, England, EC2A 2BS, United Kingdom",WD5N 6ER,2021-06-06 16:36:08
ea176b40-f3a2-4fb1-81be-8adb416828fb,Frederick,Arnaud,1916-07-07,frederick.arnaud@hotmail.com,+44 5082 8739523,"Griffiths Road, South Wimbledon, London Borough of Merton, London, Greater London, England, SW19 1SP, United Kingdom",SP43 6UB,2023-07-19 16:21:49
5a8d4d9b-b049-473d-a79b-da548a0b1dde,Gilles,Barre,1956-11-24,gilles.barre@hotmail.com,+44 5741 2782777,"Selhurst Road, Selhurst, London Borough of Croydon, London, Greater London, England, SE25 6LH, United Kingdom",M8 3QW,2020-12-18 07:45:04
d682bb7c-9adf-43dd-b25b-5db4d64e03ea,Eva,Vohra,1955-04-05,eva.vohra@libero.it,+44 6670 1411405,"Spinney Gardens, London Borough of Southwark, London, Greater London, England, SE19 1LL, United Kingdom",HU71 5PH,2020-02-04 04:37:17
ae211619-7c7a-4cc1-aa1a-6c29dfeec4e7,Gianpietro,Hernandez,1997-02-25,gianpietro.hernandez@live.com,+44 2745 9691303,"Alford Court, Cavendish Street, Hoxton, London Borough of Hackney, London, Greater London, England, N1 7JW, United Kingdom",WN42 9BD,2023-02-16 09:00:45
3615e438-c223-4e6d-921e-a3598421d498,Mark,Fletcher,1942-01-20,mark.fletcher@yahoo.com,+44 5340 9063575,"New Regent's College, Nile Street, Hoxton, London Borough of Hackney, London, Greater London, England, N1 7RD, United Kingdom",L1W 5ZL,2022-03-25 02:08:28
8141a192-f567-4d5f-9b10-af5a8ce7545c,Germana,Dufour,1963-09-04,germana.dufour@yahoo.co.uk,+44 0766 8740239,"Royal Wimbledon Golf Course, Wool Road, Cottenham Park, Copse Hill, London Borough of Merton, London, Greater London, England, SW20 0HW, United Kingdom",AL6A 6ED,2023-10-11 17:55:19
2c4a5313-2b21-4418-94cd-20675db0aa2e,Alexandrie,Horton,1980-01-12,alexandrie.horton@tele2.fr,+44 6398 4664976,"27, Marina Avenue, West Barnes, London Borough of Merton, London, Greater London, England, KT3 6JF, United Kingdom",L1T 3UN,2019-10-06 12:53:47
5a6bfdd9-aee6-4240-a24a-a837cb2d7f22,Nathalie,Bhavsar,1977-03-16,nathalie.bhavsar@hotmail.com,+44 4426 7189106,"Leithcote Path, Streatham Hill, London Borough of Lambeth, London, Greater London, England, SW16 2UZ, United Kingdom",W1K 1SE,2021-11-09 17:31:45
b9ddf019-042d-4472-9088-4bb9c092bcd0,Alfredo,Deo,2002-01-13,alfredo.deo@tele2.fr,+44 3938 3138306,"Vale Royal, Tileyard Studios, Barnsbury, London Borough of Islington, London, Greater London, England, N7 9AP, United Kingdom",BA1 9LA,2023-01-11 13:52:36
1f1924ec-378b-411f-a57e-51ee1da8c17b,Caroline,Manzoni,2000-12-12,caroline.manzoni@yahoo.com,+44 5892 0211381,"Aquarius Golf Club, Ivydale Road, Nunhead, London Borough of Southwark, London, Greater London, England, SE15 3DG, United Kingdom",WA3B 7SH,2023-02-14 03:05:27
4bdfe940-1b48-4bc1-89f9-c53444e92f4b,Tara,George,1965-10-01,tara.george@gmail.com,+44 9849 8672190,"MG Motor UK, 47-48, Piccadilly, St. James's, Mayfair, London, Greater London, England, W1J 0DS, United Kingdom",E9 5YH,2019-06-02 00:13:14
e7c3c478-b452-496e-85eb-99679327c955,Melissa,Nonis,1968-12-04,melissa.nonis@gmail.com,+44 4041 1787604,"Ravenscourt Park, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0TY, United Kingdom",WF5 0XH,2018-10-08 06:05:08
175ccab5-11a5-4c06-a2b3-2d595ab1f624,Hiran,Morgan,1954-09-21,hiran.morgan@gmail.com,+44 9564 6887999,"Tufnell Park Road, Holloway, London Borough of Islington, London, Greater London, England, N7 0EE, United Kingdom",ZE7 7EQ,2018-07-17 22:46:17
9e405c8a-c009-478b-8a5b-fc4ad36b6643,Isabelle,Parisi,1937-01-30,isabelle.parisi@yahoo.co.uk,+44 7296 4927122,"Corporation of London Open Spaces Department, 1, Guildhall Yard, Cheap, City of London, Greater London, England, EC2V 5AE, United Kingdom",BS16 2XN,2023-09-14 12:39:47
991a10f2-95a7-4b55-88da-2a8fbc8719c6,Giorgio,Nicholson,1928-11-05,giorgio.nicholson@yahoo.com,+44 8288 9422377,"141-142, New Bond Street, East Marylebone, Mayfair, London, Greater London, England, W1S 2SE, United Kingdom",NN8 5TD,2023-05-25 23:01:14
8594d26b-fe03-4541-93a6-93ba6790c3ab,Timothée,Andre,1972-07-05,timothée.andre@outlook.com,+44 9419 2959148,"Lincoln's Inn Fields, Gray's Inn, Holborn, London Borough of Camden, London, Greater London, England, WC2A 3PZ, United Kingdom",TA4 8HY,2020-03-23 13:34:35
cee185ea-9c8d-42ac-9182-14e0cd38a5d2,Vedika,Gadda,1993-07-02,vedika.gadda@gmail.com,+44 7188 2248556,"10, Langland Gardens, West Hampstead, London Borough of Camden, London, Greater London, England, NW3 6PR, United Kingdom",PH4 7PE,2023-05-24 00:18:11
